Geo Point,Official Name Municipality
"41.64591922992797, -0.20888645454561583",Castejón de Monegros
"40.49769863080288, -6.586620945119082",El Bodón
"37.715158355902716, -5.9835433482972995",Castilblanco de los Arroyos
"40.51187827342829, -0.6478074446701556",Villarroya de los Pinares
"41.97522855641043, 2.6503325868705816",Sant Julià del Llor i Bonmatí
"40.490464677573215, -3.968465363937323",Villanueva del Pardillo
"42.09792376206781, -4.238713643236118",Cordovilla la Real
"41.234842447456174, -6.330398774881398",Almendra
"40.73132246593136, -6.426881424882339",Sancti-Spíritus
"43.21907415982381, -3.7189890100459464",San Roque de Riomiera
"40.70585724970396, -3.937064144832627",Becerril de la Sierra
"40.1463855357367, -3.108812571610699",Estremera
"37.02338809538345, -5.019277048385307",Almargen
"37.123415344799774, -4.755058830948777",Fuente de Piedra
"43.255890061852945, -7.0277277562841185",Santa Eulalia de Oscos
"41.227974127720536, -3.9576623919934266",Cabezuela
"41.48299356782809, -2.555974190599831",Almazán
"40.21168889625388, -4.439860128411993",Paredes de Escalona
"41.48497923001106, -1.631062050231383",Sestrica
"43.07549143665464, -3.0782745885294354",Ayala
"40.369359643178946, -5.203586565358221",Hoyos del Collado
"39.92081161790212, -0.3448407673913463",Alcudia de Veo
"38.55567640466801, -4.172877729046234",Hinojosas de Calatrava
"42.154063396100625, -0.19591368795454311",Ibieca
"42.60697971886868, -2.892934108111149",Villalba de Rioja
"36.76984066328575, -4.222222834190765",Macharaviaya
"37.806714567296325, -5.428743139453278",La Puebla de los Infantes
"42.14232116740045, -6.410550165640304",Espadañedo
"41.2618869005109, -1.7946785729426926",Carenas
"42.845725812935164, -0.667786420198344",Comunero de Ansó y Hecho
"38.993038657462016, 1.4971208797677966",Santa Eulària des Riu
"38.024697959037276, -0.7551043029373883",Los Montesinos
"41.55015339383948, -3.708759345018374",Pardilla
"39.832001659740946, -1.480800041421122",Henarejos
"40.42033473147066, -3.892677257002712",Boadilla del Monte
"40.636917255956504, -6.770308253615423",La Alameda de Gardón
"41.84336708021972, -2.4337102937407997",Fuentecantos
"39.63658155909166, -1.3781684008858957",Camporrobles
"42.040446968684705, -5.87491274967227",Brime de Urz
"41.89714409417464, -5.609495915853659",San Agustín del Pozo
"42.15663115457638, -0.8509826940210306",Valpalmas
"40.82240176014444, -4.832401918589419",San Juan de la Encinilla
"41.985445442722366, -3.5257496709779117",Quintanilla del Coco
"41.9953682578253, -3.9648521246274426",Royuela de Río Franco
"39.94920751199396, -1.2251240289531888",Santa Cruz de Moya
"41.00328195994828, -2.219614396232352",Ciruelos del Pinar
"43.316364309575704, -3.022303042747526",Portugalete
"39.796446252539766, -6.644464128403428",Acehúche
"40.33366280980456, -2.5829209610145685",Tinajas
"38.09609153090732, -3.636764897135472",Linares
"43.68276429396781, -7.6712483216289735",O Vicedo
"41.9404026047988, -4.203562778402022",Baltanás
"41.299831353366926, 0.774299928071617",Margalef
"41.83128359758875, -1.6807609456833983",Vera de Moncayo
"38.548456159229104, -0.8133309867493379",Sax
"40.55095246814727, -5.362196337826062",Collado del Mirón
"42.73761680268636, -3.4682992272561464",Cantabrana
"43.124687123508124, -2.4288932557985285",Bergara
"42.02596609736779, -0.3820066589686039",Albero Bajo
"42.320649820512955, 0.2410416336785993",Palo
"41.987710369166315, -4.446999594982761",Magaz de Pisuerga
"41.21615109626783, 0.6226022482592786",Vinebre
"41.64878301035114, -1.2269840775250607",Urrea de Jalón
"40.08352732501271, -6.236751654773104",Valdeobispo
"36.631214229907364, -6.2349254284708095",El Puerto de Santa María
"37.23315948214969, -3.1405989000082",Albuñán
"41.72951176835367, 0.9497315873846581",Penelles
"42.61408757979199, -2.1278911337768305",Villamayor de Monjardín
"37.30539277660392, -6.312925385357482",Pilas
"36.86272236025121, -6.013794755271724",El Cuervo de Sevilla
"41.81092106689956, -5.261219797930605",Pozuelo de la Orden
"43.39554501277891, -2.8682540991557155",Maruri-Jatabe
"42.85031373544058, -2.6878723220156284",Vitoria-Gasteiz
"41.55233671961096, 1.5012265566119578",Sant Martí de Tous
"41.93582202200948, -3.075696183450913",Vilviestre del Pinar
"39.95892908752623, -0.40693386688912586",Villamalur
"41.09208565214623, -1.881658663859654",Milmarcos
"37.29083415196167, -6.617430687092595",Rociana del Condado
"42.54661126770624, -5.39085998859173",Villasabariego
"42.167219260940534, -3.058782504102981",Canales de la Sierra
"40.309256236615624, -4.223784484727634",Aldea del Fresno
"36.91635060248096, -4.116548829298793",Alcaucín
"40.431655906775724, -5.790205676301482",Navalmoral de Béjar
"43.374375406106964, -3.4146656176533057",Limpias
"41.215219970187576, -4.2549045347574985",Navalmanzano
"41.681430706023505, -2.4638763632217424",Los Rábanos
"40.78414269813086, -0.025713602657494724",Monroyo
"39.592327943800825, -3.1353741884074298",La Puebla de Almoradiel
"39.67692890884181, -0.3575160440196711",Albalat dels Tarongers
"39.15388957096293, -0.5179485832803377",Massalavés
"39.57441942214538, -0.3593452940055997",Museros
"39.03342525304186, -0.5922473880112394",Sellent
"41.31799079017773, -5.022391060658142",Villaverde de Medina
"38.31639932106618, -6.311900327940213",Calzadilla de los Barros
"41.77100638862505, 1.435800449605596",Castellfollit de Riubregós
"41.07654893538909, -1.4821882486304696",Balconchán
"42.17843434573188, -1.4643139352234638",Bardenas Reales
"40.43987342357912, -4.835929661798151",Navarredondilla
"37.055193544107325, -2.9946200265590996",Bayárcal
"42.232563409840196, -4.015658271701413",Villaquirán de los Infantes
"40.78035725439039, -3.3110277961057695",Fuentelahiguera de Albatages
"42.48259282294733, -6.7327854479377045",Borrenes
"42.38428462482478, -2.910651785268605",Manzanares de Rioja
"40.383130456893355, -4.271032592497496",Navas del Rey
"38.05064999987359, -1.3668887885379808",Campos del Río
"39.18793761931222, -0.6613567458285049",Tous
"43.19863877737208, -2.817456872577065",Bedia
"35.171972114301845, -4.299041714912062",Peñón de Vélez de la Gomera
"38.915156682503095, -5.942737426946513",Mengabril
"39.82882759352419, -1.272796120462838",Talayuelas
"40.699929792155025, -2.9741381979554666",Caspueñas
"43.185982612849436, -2.1222379138979224",Larraul
"42.310726188061096, -3.805523137456216",Buniel
"42.049567284261364, -3.977857091998131",Torrepadre
"39.43843169117692, -5.18596523132904",Alía
"40.05152156451935, -3.0380842689140355",Belinchón
"40.443427009912845, -1.9443709856663869",Vega del Codorno
"42.186194080209745, 2.213895176796699",Ripoll
"43.1211476573526, -2.054069208426639",Leaburu
"42.62320057501427, 0.3862910866812939",San Juan de Plan
"43.03409537835041, -2.0013821355847417",Araitz
"38.9457784354376, -0.3417277856788957",Llutxent
"41.69314390904153, -0.7396229891709127",Villamayor de Gállego
"40.70409891882299, -5.1439531249338915",Gallegos de Sobrinos
"40.593235060541424, -4.34917559132451",Las Navas del Marqués
"40.66784180800241, -5.014489505717103",Valdecasa
"42.28218638161264, 1.9993566302801438",Castellar de n'Hug
"39.96077001942071, -0.7743602970860061",El Toro
"40.373132731811474, -2.7626666627038494",Buendía
"42.30914761343676, 3.1138109527030746",Pau
"41.779585010897584, -2.9140232155879655",Muriel Viejo
"40.088279394555265, -0.6796909581948488",San Agustín
"39.0705172825576, -0.5487645573987603",Beneixida
"41.846691928414415, -1.435238336706355",Agón
"41.90719794236869, 2.32562009627589",Sant Julià de Vilatorta
"43.069388396722786, -3.4855919632113594",Merindad de Montija
"43.09208633199272, -8.399133634187459",Ordes
"37.247174423975856, -3.5551944630691965",Alfacar
"42.134458496087724, -2.0602000345008746",Villarroya
"41.94535902416873, -4.426502698222286",Soto de Cerrato
"43.444081062709415, -3.585241427821251",Meruelo
"40.55877334361487, -1.457510198705182",Pozondón
"38.79507713518884, -0.40063648952487835",Alcosser
"39.17771099050901, -6.625913194983998",Puebla de Obando
"42.07333888346136, -3.911739288260212",Villahoz
"40.50721441091166, -2.8732272413640096",Fuentelencina
"42.54048422689562, -5.617803957850748",Santovenia de la Valdoncina
"42.40652243587931, -3.0585159546883953",Villarta-Quintana
"42.28293665741603, -4.712961002965295",Riberos de la Cueza
"41.26334732042782, 1.4295417953440634",Masllorenç
"41.34432095104844, -4.52782621564945",Íscar
"40.23573132255407, -2.899563592998314",Aldovera
"41.98463740892436, -3.324421663679327",Villanueva de Carazo
"40.000966877196745, -6.28196999388758",Galisteo
"37.249011086391796, -4.591499696307084",Palenciana
"40.219133271936116, -1.9756561127027041",Uña
"42.38429156910832, 2.7327532616703953",Maçanet de Cabrenys
"37.30508484286206, -3.658989044822647",Albolote
"36.791948963087215, -3.6019627945270374",Molvízar
"42.36597431518093, 1.7688009368823394",Bellver de Cerdanya
"42.27745366262408, -7.745967640984913",Paderne de Allariz
"42.38889665615431, -4.376091031828203",Osorno la Mayor
"40.97745399116497, -5.810170915766777",Parada de Arriba
"41.10528368589608, -6.724903420629567",Vilvestre
"43.376422287694304, -4.182953065628281",Alfoz de Lloredo
"39.196197107872806, -1.0987609538182987",Jalance
"41.18642328324959, -4.7736094393429305",Ataquines
"41.292394235793026, -4.7172367297131315",Olmedo
"43.313200504552825, -2.8122046081776375",Gamiz-Fika
"38.9447350876672, -2.103127556416166",La Herrera
"40.325771535545066, -5.1751476264283784",Hoyos del Espino
"38.04090735868731, -6.201881144200549",Monesterio
"41.02189879571308, -5.066992619345166",Rasueros
"39.37225209576365, -6.0483804117530635",Plasenzuela
"41.89795396025064, 2.8321472061872623",Campllong
"37.35514146977033, -6.394695702420685",Chucena
"37.84324320696572, -3.999783195444466",Villardompardo
"42.366147569967744, 1.8330811016648436",Prats i Sansor
"42.26514016552204, -6.958887282805714",A Veiga
"38.91367738103199, 1.4191084493994357",Eivissa
"41.68629613957829, 0.6797097311841391",Corbins
"42.443449958758016, -8.177059173146452",Boborás
"40.38986490690273, -5.769509633873424",Béjar
"41.452731055528375, 1.665401932796139",Sant Quintí de Mediona
"42.05270296062054, -2.977295562556037",Neila
"42.00829508730633, -3.3474913222213467",La Revilla y Ahedo
"43.05784092926473, -9.193040813474168",Muxía
"42.06497525805426, -8.659272941178699",Tui
"40.54138487395611, -5.5709262296026365",Cespedosa de Tormes
"28.776521660433655, -17.79920487129599",San Andrés y Sauces
"37.47243881367116, -6.015722256111956",La Algaba
"41.84805722928281, -2.5046867227096454",Garray
"43.21545629444145, -2.7202095299498366",Amorebieta-Etxano
"39.70524340296402, -6.349236028492536",Hinojal
"40.161514870406656, -6.244054592333234",Santibáñez el Bajo
"39.921295874617904, -0.19614450507727224",Betxí
"38.276819879273994, -4.367352899968575",Cardeña
"40.28151143552966, -2.6085556403620878",Portalrubio de Guadamejud
"40.66320786445533, -1.7326821872784064",Piqueras
"43.54895460225551, -6.098203868967493",Muros de Nalón
"40.475591740342345, -6.3444631827306335",Serradilla del Llano
"40.31689824146894, -6.608989751478039",Villasrubias
"40.09564024623884, -0.37731686613953325",Ludiente
"43.49731368902757, -5.966171542283824",Illas
"42.02549437921682, -4.481781135874283",Villalobón
"41.44218184853881, 2.011913402308774",El Papiol
"42.05422213256934, -3.6939862448352563",Santa Inés
"39.85065822015882, -0.36637132816583673",Azuébar
"40.276952332539985, -1.8149283798317155",Huélamo
"40.456626793385205, -2.317288427370519",Priego
"37.44310597072393, -3.6707392655443827",Benalúa de las Villas
"42.97365388106549, -2.1620825807008286",Ataun
"42.29334951142654, -5.855990740597102",Regueras de Arriba
"42.46601721762389, -2.914157046901073",Bañares
"40.694146447228604, -6.191001720496096",Sepulcro-Hilario
"41.21804839358082, -3.5254361254966096",Cerezo de Arriba
"39.07337704914869, -0.5202919622637165",Castelló
"41.71050515304767, -6.102781679584268",Vegalatrave
"37.513419824011315, -3.220484284177229",Pedro Martínez
"42.598628195722256, -2.2340581335080545",Mues
"37.55342108923389, -5.877407280844604",Brenes
"39.760179564963344, -4.7117723357395915",Santa Ana de Pusa
"38.67323430280802, -5.450764019898804",Benquerencia de la Serena
"41.353425533736555, 1.8522878941060417",Olesa de Bonesvalls
"42.89989834669957, -3.6952057121049897",Valle de Manzanedo
"42.41053281679834, -3.262875676340314",Villambistia
"38.6099491836602, -2.789769703051608",Albaladejo
"40.27224629277812, -3.0380807100847385",Almoguera
"42.000606255021374, 0.7389198555170595",Àger
"42.682770573404945, 1.0605971939448813",Alt Àneu
"41.261582951769014, -4.986181846213837",El Campillo
"41.51784182467748, 2.261553543029219",Santa Maria de Martorelles
"39.358994066261324, -6.2598507571588025",Torreorgaz
"42.874035664022735, -5.691060591123235",La Pola de Gordón
"41.80693145255143, -3.046492641613442",Casarejos
"41.160749613742595, -2.429391997439296",Medinaceli
"41.144522846006296, -4.2788964663596785",Carbonero el Mayor
"40.61766589509672, 0.4371924685003687",Ulldecona
"41.77988729750427, -5.907374464579818",Pozuelo de Tábara
"40.571903900821, -5.27337058233481",Tórtoles
"39.68064388913628, -4.800197351774518",Torrecilla de la Jara
"38.10617852199031, -0.8500154355099092",Rafal
"36.975052451839645, -2.8552608202136684",Fondón
"42.04741546284868, 1.6348693168981683",Navès
"42.672216934322606, -4.3530309818566515",Prádanos de Ojeda
"40.6401319887984, -6.316130691358505",Dios le Guarde
"43.47757966290782, -3.557608650867643",Arnuero
"41.714084646199645, 2.421441336770751",Sant Esteve de Palautordera
"39.370264608679484, -5.38828047726121",Cañamero
"36.928370931862986, -3.595180401519867",El Valle
"42.404360836999786, -5.307875200777078",Villamoratiel de las Matas
"40.93804304990514, -3.831249810550365",Pinilla del Valle
"42.14866107456154, -4.443156633312129",Amusco
"40.383751746807086, -5.70557969547127",Navacarros
"40.44264889010484, -5.973610956108059",Pinedas
"41.44964921991508, -2.227960400771106",Cañamaque
"39.3972180984728, -0.372535674256871",Massanassa
"41.48370930706601, -5.909656890034493",Almaraz de Duero
"41.19316589595735, -1.897572101411834",Jaraba
"38.6648933138262, -0.32746259748487533",Alcoleja
"40.13200027507834, -4.524698383322055",Nombela
"43.31240897951357, -2.633789476192195",Arratzu
"41.87913013433241, -3.625165220199006",Pinilla Trasmonte
"40.41738741438756, 0.14738404079193676",la Salzadella
"37.01360135973642, -3.820644706044443",Agrón
"43.361583214116884, -1.8253340610400561",Hondarribia
"42.4140054848652, -1.981777801447175",Cárcar
"40.90243556732508, -4.1688165685853225",Segovia
"41.510455431103274, -2.908938000942927",Bayubas de Abajo
"39.67825939639203, -0.38187741757023125",Segart
"41.92662199037716, -5.014932221482581",Villanueva de San Mancio
"43.322977520481686, -2.5840217610237315",Nabarniz
"42.173748495458995, -3.611126307775756",Comunidad de Cubillo del Campo y Hontoria de la Cantera
"40.871280952816164, -5.127656607338952",Gimialcón
"42.03061998150821, -3.4993532112617145",Retuerta
"39.29415484169965, -5.869033723401876",Puerto de Santa Cruz
"42.34068852831089, -2.7586288966345425",Baños de Río Tobía
"41.90610377357912, -5.6746855608306435",Villaveza del Agua
"41.35948819633663, -1.0260541543051696",Villanueva de Huerva
"40.5061841887955, -0.1994417841623568",Castellfort
"40.071721910225925, -2.0237330400922136",Palomera
"42.52483801798421, -4.973776271072775",Cea
"42.17263713167924, -7.56162933265854",Vilar de Barrio
"42.516233830656624, -4.407934879917045",Villaprovedo
"43.2856121367296, -3.7177144509460125",Miera
"41.70178562585529, -2.004666340160006",Noviercas
"38.159228392858694, -5.941543907525527",Reina
"41.811614680445636, -5.751883989286775",Granja de Moreruela
"41.299378543775134, 1.8116999997670433",Olivella
"36.35897400194983, -5.363160996787776",San Martín del Tesorillo
"37.69665510661207, -4.854475904110876",La Victoria
"37.22959047474106, -4.0070849540875155",Villanueva Mesía
"40.93947875149012, -3.241534187244255",La Mierla
"41.5662687539543, 0.6176182378122171",Albatàrrec
"41.688633304269814, 0.9666836365323449",Ivars d'Urgell
"36.94546927980799, -2.5751152834466158",Alhama de Almería
"41.367861187995, 2.0187314320263394",Santa Coloma de Cervelló
"39.88326003094542, -6.5592077027133",Portaje
"40.29929768529363, -2.074329488692771",Portilla
"36.95765820772052, -3.278820289742576",Busquístar
"42.07695537866796, 0.02792079391756767",Pozán de Vero
"42.77984332591684, -6.61780052639871",Fabero
"42.26709252901599, -6.4157266764588075",Truchas
"41.70743884361199, 0.8902867077256161",Linyola
"41.34322421017526, 0.5063995521138164",Maials
"41.90213495552204, -8.861576569201562",A Guarda
"40.549766211803124, -5.740136574591915",Fuenterroble de Salvatierra
"40.489025240332786, -6.6745850730072585",Ituero de Azaba
"41.09071563025258, -4.447532177597084",Nieva
"41.158882945192715, 0.7595891096063633",Bellmunt del Priorat
"41.24180605560114, -4.685522149142943",Bocigas
"42.93208510230326, -2.2843777362190263",Parzonería general de Guipúzcoa y Álava
"42.14011997859889, -3.656311364469716",Madrigal del Monte
"41.74180491687191, -3.6300527148704655",Villanueva de Gumiel
"42.40243342372956, -4.179092462606636",Padilla de Abajo
"39.92890055076901, -0.6862752356225323",Torás
"43.502533955801276, -7.433715065366889",Alfoz
"41.09371983694521, -6.178691324825567",Tremedal de Tormes
"38.14320934189393, -2.3605704667988356",Nerpio
"38.85471601113407, 0.017792348524907964",els Poblets
"38.76142876015638, -2.9632475799399334",Fuenllana
"39.740803283189486, -2.507975014080416",Montalbanejo
"39.713743230185734, -2.2305582483196273",Valverde de Júcar
"37.23637714043181, -3.5384489891795576",Víznar
"40.67082895264277, -1.673977630745583",Adobes
"41.2188087366938, -3.0570040103659983",Albendiego
"38.880565492251534, -5.722812986041402",Magacela
"43.25179153037485, -2.8855449741234254",Etxebarri
"41.72835165497307, -1.0870581188197546",Pinseque
"40.31247457871885, -6.1571354386679396",La Pesga
"40.47229678756167, -2.3994722749591006",Albendea
"39.799148700487805, -1.7026284829397274",Cardenete
"42.567245456188076, -0.14056998633652842",Broto
"41.90653782569294, -7.416300947198928",Verín
"40.82201173716244, -6.804966506349897",La Bouza
"37.33213480848889, -5.3644040540670614",Marchena
"39.953514231159616, -4.849513981193468",Talavera de la Reina
"42.27421154705937, -5.100965740324433",Melgar de Arriba
"42.04338566033632, -5.326391552830435",Valdunquillo
"38.830798300120215, -0.05092209122870881",el Ràfol d'Almúnia
"41.041248136242224, -4.9746062154944655",Bercial de Zapardiel
"40.94185657075778, -5.083778296704954",Flores de Ávila
"38.07243674869551, -6.338242421112415",Calera de León
"42.571238253585925, -2.637456098891766",Leza
"38.334075093813446, -5.600659061712396",Granja de Torrehermosa
"41.469325574244884, 1.5387575732094236",La Llacuna
"42.17130468873944, 2.801193784543884",Esponellà
"37.18591930393482, -3.4901986732828623",Dúdar
"37.24164019166935, -3.6302119412227514",Peligros
"37.80918547612666, -3.7513324539723656",Jaén
"40.36138399193604, -3.3089288114292876",Pozuelo del Rey
"42.5151002741385, -4.523901636053245",Villanuño de Valdavia
"40.67726884167339, -0.7695525454301217",Hinojosa de Jarque
"41.299751403957536, -5.663145684335339",Cuelgamures
"37.13787528032737, -4.0386405254229425",Salar
"43.02876922769684, -5.290190675179048",Puebla de Lillo
"37.77748877327486, -0.966935181965751",Torre-Pacheco
"42.73690790176203, -0.9953225389582054",Burgui
"42.91289572195533, -1.9368382970036075",Irañeta
"38.84912020464494, -0.3822612031142229",Salem
"42.04255203167436, -3.364545712898772",Barbadillo del Mercado
"40.53387671283218, 0.1343551092221597",Xert
"37.93352939502297, -4.4901968929359946",El Carpio
"42.44303313173527, 1.0802703423705564",Sort
"42.946101402251244, -1.5271897395494411",Esteribar
"41.70413464460563, 1.9069866088367189",El Pont de Vilomara i Rocafort
"42.54296090915754, -4.2569351744540915",Zarzosa de Río Pisuerga
"37.27792413803865, -4.47527718368276",Encinas Reales
"37.224915473395086, -3.0426085913714136",La Calahorra
"41.08967790321059, -2.8440917894436675",Rebollosa de Jadraque
"40.592190917181995, -3.3045092944112353",Villanueva de la Torre
"42.3454925675458, 0.09402380213336595",Aínsa-Sobrarbe
"38.014077124757684, -3.5768426799882773",Lupión
"42.32587227351138, -4.8772375537549895",Población de Arroyo
"40.74091029638877, -5.36415527761995",Pedraza de Alba
"43.21085384708422, -3.9536039698641456",Corvera de Toranzo
"43.22766125692894, -4.493212131644901",Lamasón
"41.206644932214864, -3.7357218009223274",Castroserna de Abajo
"41.164097496061686, -1.1444754230959333",Luesma
"41.18520779094219, -1.4994036443398697",Villafeliche
"41.50301923121613, -2.194916514551959",Serón de Nágima
"37.82585294040773, -3.912651721664708",Torredelcampo
"42.8303857083803, -6.966601035857753",Cervantes
"40.33215356208066, -3.2408790730934895",Villar del Olmo
"28.354577626933605, -16.58568582691793",Los Realejos
"41.39268293186852, -4.481767120280705",Mata de Cuéllar
"37.650172857082524, -6.447577571465712",El Madroño
"41.26896363492084, 0.9179349843627715",Cornudella de Montsant
"40.82228427874812, -1.481417990992217",Blancas
"42.81373751073906, -2.9916164895721518",Añana
"38.14377358293602, -0.8999428530734407",Cox
"38.67000645210534, -0.1684703310692361",el Castell de Guadalest
"42.12751089076731, -3.585001671164025",Cuevas de San Clemente
"42.04484462911809, -3.2747387393432335",Salas de los Infantes
"40.26815213417706, 0.07268474148276789",la Torre d'en Doménec
"42.5190539975809, -2.837372549011803",Rodezno
"42.903294998482494, -1.7065829619794814",Juslapeña
"40.92299656113002, 0.20519345427345018",Cretas
"40.06782117704954, -4.641322638312122",Cardiel de los Montes
"39.39637082715064, -0.3946837879759329",Catarroja
"41.153033464854204, -1.2387892938209364",Badules
"37.43569639372596, -3.3120375207796804",Morelábor
"38.41688427513546, -2.679019978056253",Torres de Albánchez
"42.474097010026064, -2.6541401516368337",Cenicero
"42.519317899075276, -1.8411953287068554",Berbinzana
"41.983253513471986, -4.565155526321434",Palencia
"40.049020388868996, -6.218159470212981",Carcaboso
"41.94177260562406, 2.562671024830541",Osor
"40.66317984615914, -2.9617802224466483",Valdeavellano
"41.98704309577311, -2.0706720589146017",Valdemadera
"38.4692025331356, -1.3098087299611267",Jumilla
"39.079709407723016, -1.370422968019753",Alatoz
"38.73749989838316, -0.4468903920707766",Cocentaina
"39.86440312375004, 4.2858773807004145",es Castell
"39.141358435256286, -6.4380828986883865",Cordobilla de Lácara
"40.80222330680555, -4.667610147314238",Pozanco
"38.550347732778405, -6.439719790555116",Fuente del Maestre
"41.57073433427656, 2.5237849975216218",Caldes d'Estrac
"40.559383603152845, -2.053030277567037",Beteta
"41.112048772523345, -2.9419475786232625",Robledo de Corpes
"42.429170966379274, 0.39513143171767967",Campo
"42.254846100995444, -5.4450737426907585",Villabraz
"40.87853347946459, -5.357776547817087",Coca de Alba
"37.282540881991494, -3.898140559527375",Íllora
"39.32092978366342, -4.036099910417108",Los Cortijos
"40.52180070286563, -3.891982270150171",Las Rozas de Madrid
"39.51493486703784, -3.1033326785871855",Miguel Esteban
"38.96881839421591, -2.765317318926272",Ossa de Montiel
"39.819459331082015, -0.3763148623479809",Soneja
"40.057848287249776, -0.638546996323293",Villanueva de Viver
"43.389584771945245, -3.36537650420168",Liendo
"37.306313809581816, -6.108308714652062",Almensilla
"40.89028699640268, -1.1465141759981956",Barrachina
"41.24239207034282, -5.497796010281302",Fuentesaúco
"40.14342018342971, -5.541580672955137",Viandar de la Vera
"40.60908242963704, -2.4836426960798055",Peralveche
"41.52017245022468, 0.5882165185327303",Sunyer
"42.20996588514375, -4.8701702795742",Cisneros
"40.79908926418152, -6.400504981947308",Retortillo
"41.859228020968885, -2.117726113126166",Trévago
"39.7712447133993, -0.3468360436515177",Alfara de la Baronia
"41.47088888573957, 2.2799490393811785",Montgat
"38.6339540280709, -0.9139064786220216",Villena
"42.32912412031963, 2.866480367122863",Boadella i les Escaules
"41.78127117319183, 2.5869056594147555",Sant Feliu de Buixalleu
"42.63510297647344, -6.177459288493983",Villagatón
"41.71226744421059, 0.702946164413819",Torrelameu
"42.437125352515984, -8.619733430997337",Pontevedra
"43.117351434048956, -3.8286472699594443",San Pedro del Romeral
"41.868287580550685, -2.4200351417895147",Fuentelsaz de Soria
"40.33926867487414, -4.489348512137769",Navahondilla
"40.21405066599359, -4.997790488400727",Santa Cruz del Valle
"38.554896944709235, -0.1288871685344839",Benidorm
"40.82775370653919, -4.729242788400417",Gotarrendura
"37.983417366360655, -4.1220600655401",Arjonilla
"42.59521157541566, -4.445965020936749",Sotobañado y Priorato
"43.27133642730765, -4.031101254718277",San Felices de Buelna
"37.39288570486715, -2.3489480908724563",Urrácal
"41.360280461957586, 1.6661842686564579",Pacs del Penedès
"41.581253645283546, 2.5081570859942377",Sant Vicenç de Montalt
"42.27972538276382, -4.0856554192372245",Villaquirán de la Puebla
"39.78468914957844, -6.939658940686395",Piedras Albas
"39.9699902840689, -0.6057444148097026",Benafer
"40.64434503059143, -0.2624274588583441",Todolella
"40.75914712284262, -3.175126331920253",Yunquera de Henares
"43.29350546328178, -2.3990112697378834",Mutriku
"42.15874785184378, -5.9395959693336",San Esteban de Nogales
"41.458350058778635, 0.359551430866316",Massalcoreig
"42.622817020300175, -3.002043838807112",Cellorigo
"42.47516416577212, -1.4916423508436571",Ujué
"40.70828840181202, -6.005749856859167",Berrocal de Huebra
"40.48688798623922, -5.783363472848016",Valverde de Valdelacasa
"39.9466868157751, -3.5124720031581522",Ocaña
"43.21740028987229, -3.059771169338392",Güeñes
"41.70943233452347, -5.695215018891332",Pajares de la Lampreana
"39.07565221623445, -5.005233111801625",Garbayuela
"39.665028549541816, 2.8179355236073387",Consell
"41.64595731484524, 2.355126350638629",Cardedeu
"39.11783944745221, -1.468242790918692",Villavaliente
"40.736394696935186, -5.085436348188331",Mirueña de los Infanzones
"37.28020707645199, -3.6278397642148033",Calicasas
"43.059169507953484, -2.1632575975587263",Arama
"40.1374874547248, -3.33386104004321",Belmonte de Tajo
"40.36861642712714, -3.2060663278307806",Olmeda de las Fuentes
"42.89940958503385, -1.1511941593307484",Jaurrieta
"42.30675768610584, -7.966315643391141",Toén
"41.154624081869315, -1.4546161010699488",Manchones
"41.13546015426328, -6.559922285142193",Cabeza del Caballo
"37.49956263054554, -5.347879511203223",Fuentes de Andalucía
"42.89819419660777, -3.8574204045806124",Alfoz de Bricia
"41.79219053825535, -3.4336025008432327",Arauzo de Torre
"36.78064807822584, -3.187862477937991",Albuñol
"37.58497530099808, -3.6530207693999897",Campillo de Arenas
"43.543898798556704, -6.229189602574544",Cudillero
"41.39394280370958, -3.992927232680683",Fuente el Olmo de Fuentidueña
"37.053068760168756, -5.790061279121428",El Palmar de Troya
"41.30784316258313, 1.5553592834460264",Sant Jaume dels Domenys
"41.0653223968311, -1.0679302542178626",Loscos
"39.136973411534406, -0.45077187305347627",Alzira
"41.121814814194785, -1.287314941211548",Romanos
"41.5961855753683, 2.33483260974807",La Roca del Vallès
"39.33140522772286, -5.91730659256402",Ibahernando
"41.1367382190919, -1.949858728269677",Algar de Mesa
"36.82145693443425, -5.293242262817818",Montecorto
"40.618097028820834, -6.492322034587587",Ciudad Rodrigo
"37.693432829134345, -6.317008505985782",El Castillo de las Guardas
"37.93980862181882, -5.84247304118875",Cazalla de la Sierra
"41.939378960283626, -2.5316662324174684",Rollamienta
"40.786920271430084, -1.01303311510894",Pancrudo
"41.43518914089782, 1.85898670976227",Gelida
"42.878962155513136, -2.3928890502892037",San Millán
"38.14037772794584, -6.727685519753929",Higuera la Real
"42.16845590774635, 1.785071444031426",Fígols
"43.26113523003778, -8.878464968234233",Ponteceso
"39.682856898250044, -2.037704342533002",Barchín del Hoyo
"40.49135668871369, -3.0777767125953805",Aranzueque
"42.281538457652154, -2.4281298627589876",Soto en Cameros
"36.8213831111755, -4.25123197478166",El Borge
"41.93362952841112, -7.961475029247811",Muíños
"41.86836858794052, -4.2134930655978735",Villaconancio
"41.017489406634915, -5.763447710963842",Florida de Liébana
"41.14440733032972, -4.188709193907895",Mozoncillo
"40.523256994284516, -1.5684243715915422",Bronchales
"40.181160297739346, -1.085445297570686",Valacloche
"37.2256831372558, -7.287247371503038",Isla Cristina
"37.85452937651736, -6.606843275696776",Linares de la Sierra
